[0411/150034.561:ERROR:process_info.cc(343)] VirtualQueryEx: Access is denied. (0x5)
[0411/150034.562:ERROR:process_info.cc(564)] ReadMemoryInfo failed
[0411/150034.570:ERROR:process_reader_win.cc(142)] SuspendThread: Access is denied. (0x5)
[0411/150034.570:ERROR:exception_snapshot_win.cc(87)] thread ID 9072 not found in process
[0411/150034.570:WARNING:crash_report_exception_handler.cc(60)] ProcessSnapshotWin::Initialize failed
[0411/150034.570:ERROR:scoped_process_suspend.cc(38)] NtResumeProcess: An attempt was made to access an exiting process.  (0xc000010a)
[0727/162238.025:ERROR:process_info.cc(632)] range at 0x2ffc2a1800000000, size 0x12e fully unreadable
[0727/162238.025:ERROR:process_info.cc(632)] range at 0x2ffc2a3800000000, size 0x12e fully unreadable
[0727/162238.027:ERROR:process_info.cc(632)] range at 0x0, size 0x12e fully unreadable
[1027/153745.190:ERROR:process_info.cc(632)] range at 0x2fa13e7600000000, size 0x2f6 fully unreadable
[1027/153745.202:ERROR:process_info.cc(632)] range at 0x2fa13ed800000000, size 0x2f6 fully unreadable
[1027/153745.202:ERROR:process_info.cc(632)] range at 0x0, size 0x2f6 fully unreadable
[1123/080750.265:ERROR:process_info.cc(632)] range at 0xdd9933b600000000, size 0x28d fully unreadable
[1123/080750.265:ERROR:process_info.cc(632)] range at 0xdd9933d600000000, size 0x28d fully unreadable
[1123/080750.265:ERROR:process_info.cc(632)] range at 0x0, size 0x28d fully unreadable
[0314/101702.945:ERROR:prune_crash_reports.cc(34)] PruneCrashReportDatabase: Failed to get pending reports
